subplot_epsilon,ligand_monomer_count,series_label,row_type,point_index,x_raw,x_normalized,y,fit_alpha,fit_nu,M,plot_color_index
15,1,monoligand (N=1),scatter,7,8,0.5714285714285714,8.484996795654297,6.5372666776339985,0.6004893583269499,15,2
15,1,monoligand (N=1),scatter,8,9,0.6428571428571429,8.330450057983398,6.5372666776339985,0.6004893583269499,15,2
15,1,monoligand (N=1),scatter,9,10,0.7142857142857143,8.198614120483398,6.5372666776339985,0.6004893583269499,15,2
15,1,monoligand (N=1),scatter,10,11,0.7857142857142857,7.8816962242126465,6.5372666776339985,0.6004893583269499,15,2
15,1,monoligand (N=1),scatter,11,12,0.8571428571428571,7.441775321960449,6.5372666776339985,0.6004893583269499,15,2
15,1,monoligand (N=1),scatter,12,13,0.9285714285714286,6.897326469421387,6.5372666776339985,0.6004893583269499,15,2
15,1,monoligand (N=1),scatter,13,14,1,6.261835575,6.5372666776339985,0.6004893583269499,15,2
15,1,monoligand (N=1),fit,0,1,0.10142857142857142,6.440621320307875,6.5372666776339985,0.6004893583269499,15,2
15,1,monoligand (N=1),fit,1,2,0.17285714285714285,7.285207802194246,6.5372666776339985,0.6004893583269499,15,2
15,1,monoligand (N=1),fit,2,3,0.24428571428571427,7.7667234738043405,6.5372666776339985,0.6004893583269499,15,2
15,1,monoligand (N=1),fit,3,4,0.3157142857142857,8.072886025,6.5372666776339985,0.6004893583269499,15,2
15,1,monoligand (N=1),fit,4,5,0.3871428571428571,8.266266247728645,6.5372666776339985,0.6004893583269499,15,2
15,1,monoligand (N=1),fit,5,6,0.4585714285714285,8.374185294476996,6.5372666776339985,0.6004893583269499,15,2
15,1,monoligand (N=1),fit,6,7,0.53,8.40896024,6.5372666776339985,0.6004893583269499,15,2
15,1,monoligand (N=1),fit,7,8,0.6014285714285714,8.374185294476996,6.5372666776339985,0.6004893583269499,15,2
15,1,monoligand (N=1),fit,8,9,0.6728571428571429,8.266266247728645,6.5372666776339985,0.6004893583269499,15,2
15,1,monoligand (N=1),fit,9,10,0.7442857142857143,8.072886025,6.5372666776339985,0.6004893583269499,15,2
15,1,monoligand (N=1),fit,10,11,0.8157142857142857,7.7667234738043405,6.5372666776339985,0.6004893583269499,15,2
15,1,monoligand (N=1),fit,11,12,0.8871428571428571,7.285207802194246,6.5372666776339985,0.6004893583269499,15,2
15,1,monoligand (N=1),fit,12,13,0.9585714285714286,6.440621320307875,6.5372666776339985,0.6004893583269499,15,2
15,3,polyligand (N=3),scatter,0,1,0.071428571,6.402044296264648,6.529471492686409,0.574959005,15,2
15,3,polyligand (N=3),scatter,1,2,0.14285714285714285,6.753156661987305,6.529471492686409,0.574959005,15,2
15,3,polyligand (N=3),scatter,2,3,0.21428571428571427,7.213165283203125,6.529471492686409,0.574959005,15,2
15,3,polyligand (N=3),scatter,3,4,0.2857142857142857,7.563406467437744,6.529471492686409,0.574959005,15,2
15,3,polyligand (N=3),scatter,4,5,0.35714285714285715,7.7383012771606445,6.529471492686409,0.574959005,15,2
15,3,polyligand (N=3),scatter,5,6,0.42857142857142855,7.820451736450195,6.529471492686409,0.574959005,15,2
15,3,polyligand (N=3),scatter,6,7,0.5,7.961819648742676,6.529471492686409,0.574959005,15,2
15,3,polyligand (N=3),scatter,7,8,0.5714285714285714,8.016506195,6.529471492686409,0.574959005,15,2
15,3,polyligand (N=3),scatter,8,9,0.6428571428571429,7.875970363616943,6.529471492686409,0.574959005,15,2
15,3,polyligand (N=3),scatter,9,10,0.7142857142857143,7.6703948974609375,6.529471492686409,0.574959005,15,2
15,3,polyligand (N=3),scatter,10,11,0.7857142857142857,7.465750217437744,6.529471492686409,0.574959005,15,2
15,3,polyligand (N=3),scatter,11,12,0.8571428571428571,7.1471099853515625,6.529471492686409,0.574959005,15,2
15,3,polyligand (N=3),scatter,12,13,0.9285714285714286,6.725696086883545,6.529471492686409,0.574959005,15,2
15,3,polyligand (N=3),scatter,13,14,1,6.314759254455566,6.529471492686409,0.574959005,15,2
15,3,polyligand (N=3),fit,0,1,0.10142857142857142,6.457329776018121,6.529471492686409,0.574959005,15,2
